Date,Description,Amount
2023-06-10,Bank Transaction 128,-784.89
2023-08-09,Bank Transaction 129,-932.74
2023-02-27,Bank Transaction 130,433.28
2023-04-08,Bank Transaction 131,-332.1
2023-03-21,Bank Transaction 132,-531.68
2023-04-06,Bank Transaction 133,-443.93
2023-09-14,Bank Transaction 134,-193.01
2023-11-16,Bank Transaction 135,-426.78
2023-08-30,Bank Transaction 136,470.38
2023-12-19,Bank Transaction 137,-103.66
2023-09-20,Bank Transaction 138,979.49
2023-12-03,Bank Transaction 139,-109.14
2023-12-05,Bank Transaction 140,-281.61
2023-08-31,Bank Transaction 141,-56.54
2023-07-12,Bank Transaction 142,2.87
2023-08-13,Bank Transaction 143,510.92
2023-03-27,Bank Transaction 144,-550.42
2023-07-18,Bank Transaction 145,-383.92
2023-04-16,Bank Transaction 146,-280.42
2023-09-16,Bank Transaction 147,600.08
2023-02-15,Bank Transaction 148,-522.98
2023-05-10,Bank Transaction 149,705.37
2023-01-15,Bank Transaction 150,600.22
2023-08-26,Bank Transaction 151,568.77
2023-08-06,Bank Transaction 152,816.99
2023-06-30,Bank Transaction 153,833.7
2023-12-26,Bank Transaction 154,-33.11
2023-05-26,Bank Transaction 155,-539.07
2023-01-02,Bank Transaction 156,-67.31
2023-03-29,Bank Transaction 157,-626.44
2023-11-04,Bank Transaction 158,682.2
2023-04-13,Bank Transaction 159,122.25
2023-08-10,Bank Transaction 160,115.05
2023-09-10,Bank Transaction 161,756.99
2023-06-10,Bank Transaction 162,-806.15
2023-12-01,Bank Transaction 163,-123.75
2023-07-14,Bank Transaction 164,-156.99
2023-11-01,Bank Transaction 165,-162.14
2023-09-14,Bank Transaction 166,-62.56
2023-09-19,Bank Transaction 167,-478.64
2023-10-07,Bank Transaction 168,56.82
2023-06-23,Bank Transaction 169,-552.36
2023-03-16,Bank Transaction 170,147.59
2023-07-06,Bank Transaction 171,909.95
2023-02-09,Bank Transaction 172,582.14
2023-02-13,Bank Transaction 173,37.96
2023-11-06,Bank Transaction 174,-82.65
2023-08-16,Bank Transaction 175,-394.2
2023-04-24,Bank Transaction 176,870.47
2023-04-20,Bank Transaction 177,-499.58
2023-01-10,Bank Transaction 178,788.85
2023-08-31,Bank Transaction 179,-46.87
2023-10-04,Bank Transaction 180,-979.18
2023-11-07,Bank Transaction 181,904.42
2023-01-05,Bank Transaction 182,457.06
2023-08-27,Bank Transaction 183,-1033.07
2023-03-02,Bank Transaction 184,655.18
2023-09-10,Bank Transaction 185,871.81
2023-01-21,Bank Transaction 186,-947.25
2023-11-15,Bank Transaction 187,1019.52
2023-09-06,Bank Transaction 188,416.52
2023-01-08,Bank Transaction 189,-839.96
2023-09-24,Bank Transaction 190,514.14
2023-06-04,Bank Transaction 191,1038.66
2023-02-28,Bank Transaction 192,-708.42
2023-03-08,Bank Transaction 193,950.74
2023-12-29,Bank Transaction 194,-426.79
2023-04-25,Bank Transaction 195,318.09
2023-07-18,Bank Transaction 196,-842.92
2023-07-24,Bank Transaction 197,438.22
2023-12-30,Bank Transaction 198,-344.17
2023-03-20,Bank Transaction 199,-36.16
2023-04-06,Bank Transaction 200,926.61
2023-12-28,Bank Transaction 201,-304.69
2023-10-15,Bank Transaction 202,-807.72
2023-10-10,Bank Transaction 203,674.01
2023-11-23,Bank Transaction 204,-435.08
2023-06-22,Bank Transaction 205,-246.65
2023-11-03,Bank Transaction 206,-480.87
2023-02-04,Bank Transaction 207,446.45
2023-08-01,Bank Transaction 208,475.12
2023-07-20,Bank Transaction 209,516.7
2023-09-14,Bank Transaction 210,162.76
2023-11-02,Bank Transaction 211,513.17
2023-05-04,Bank Transaction 212,-626.31
2023-09-30,Bank Transaction 213,-429.59
2023-11-22,Bank Transaction 214,359.64
2023-03-11,Bank Transaction 215,-25.25
2023-04-10,Bank Transaction 216,-324.17
2023-06-28,Bank Transaction 217,-773.56
2023-12-13,Bank Transaction 218,-556.36
2023-07-06,Bank Transaction 219,30.1
2023-05-07,Bank Transaction 220,611.03
2023-06-17,Bank Transaction 221,-686.78
2023-12-19,Bank Transaction 222,677.11
2023-02-14,Bank Transaction 223,-335.99
2023-12-19,Bank Transaction 224,-485.77
2023-02-04,Bank Transaction 225,474.9
2023-07-13,Bank Transaction 226,-340.26
2023-04-21,Bank Transaction 227,232.0
2023-03-05,Bank Transaction 228,409.45
2023-03-17,Bank Transaction 229,513.74
2023-08-17,Bank Transaction 230,97.87
2023-09-06,Bank Transaction 231,-38.8
2023-06-26,Bank Transaction 232,849.35
2023-05-24,Bank Transaction 233,287.42
2023-10-13,Bank Transaction 234,-950.93
2023-06-23,Bank Transaction 235,-74.75
2023-06-12,Bank Transaction 236,-899.79
2023-12-14,Bank Transaction 237,770.67
2023-04-30,Bank Transaction 238,137.03
2023-05-22,Bank Transaction 239,850.29
2023-04-16,Bank Transaction 240,-839.91
2023-04-25,Bank Transaction 241,972.25
2023-07-20,Bank Transaction 242,832.51
2023-04-18,Bank Transaction 243,-423.77
2023-12-07,Bank Transaction 244,330.79
2023-01-22,Bank Transaction 245,810.6
2023-07-21,Bank Transaction 246,766.54
2023-11-21,Bank Transaction 247,-74.22
2023-09-13,Bank Transaction 248,-163.84
2023-05-19,Bank Transaction 249,-36.22
2023-06-24,Bank Transaction 250,368.04
2023-04-14,Bank Transaction 251,618.91
2023-05-22,Bank Transaction 252,272.74
2023-08-08,Bank Transaction 253,506.61
2023-11-02,Bank Transaction 254,503.78
2023-05-24,Bank Transaction 255,-129.99
2023-12-29,Bank Transaction 256,909.62
2023-11-01,Bank Transaction 257,-852.64
2023-03-30,Bank Transaction 258,-232.69
2023-05-07,Bank Transaction 259,774.88
2023-03-21,Bank Transaction 260,-175.27
2023-12-24,Bank Transaction 261,-663.05
2023-09-30,Bank Transaction 262,-89.07
2023-11-13,Bank Transaction 263,789.47
2023-11-30,Bank Transaction 264,494.67
2023-04-05,Bank Transaction 265,810.75
2023-04-22,Bank Transaction 266,-912.39
2023-03-16,Bank Transaction 267,-730.14
2023-11-26,Bank Transaction 268,208.91
2023-12-22,Bank Transaction 269,394.72
2023-07-15,Bank Transaction 270,-594.52
2023-09-14,Bank Transaction 271,-786.17
2023-01-14,Bank Transaction 272,-519.23
2023-08-09,Bank Transaction 273,651.5
2023-02-04,Bank Transaction 274,273.76
2023-07-17,Bank Transaction 275,445.73
2023-01-13,Bank Transaction 276,-628.55
2023-02-03,Bank Transaction 277,-702.72
2023-06-12,Bank Transaction 278,-894.08
2023-12-22,Bank Transaction 279,-533.05
2023-04-10,Bank Transaction 280,348.84
2023-06-06,Bank Transaction 281,874.62
2023-05-16,Bank Transaction 282,338.69
2023-10-13,Bank Transaction 283,683.0
2023-03-18,Bank Transaction 284,-982.49
2023-04-09,Bank Transaction 285,251.39
2023-12-17,Bank Transaction 286,-827.57
2023-04-26,Bank Transaction 287,-802.12
2023-09-07,Bank Transaction 288,723.5
2023-09-17,Bank Transaction 289,-146.36
2023-01-12,Bank Transaction 290,-437.5
2023-10-09,Bank Transaction 291,241.83
2023-09-29,Bank Transaction 292,609.88
2023-07-30,Bank Transaction 293,-170.12
2023-09-17,Bank Transaction 294,246.41
2023-12-19,Bank Transaction 295,-878.25
2023-11-03,Bank Transaction 296,291.33
2023-02-13,Bank Transaction 297,29.23
2023-03-02,Bank Transaction 298,-667.82
2023-02-15,Bank Transaction 299,442.55
2023-12-10,Bank Transaction 300,-704.47
2023-09-18,Bank Transaction 301,4.0
2023-03-21,Bank Transaction 302,967.66
2023-07-13,Bank Transaction 303,-363.56
2023-12-21,Bank Transaction 304,313.9
2023-01-17,Bank Transaction 305,807.25
2023-12-10,Bank Transaction 306,508.37
2023-12-02,Bank Transaction 307,503.54
2023-05-20,Bank Transaction 308,405.05
2023-09-04,Bank Transaction 309,918.46
2023-08-30,Bank Transaction 310,-185.3
2023-05-11,Bank Transaction 311,-359.2
2023-08-21,Bank Transaction 312,31.89
2023-12-02,Bank Transaction 313,712.63
2023-12-02,Bank Transaction 314,531.48
2023-02-26,Bank Transaction 315,-935.43
2023-02-11,Bank Transaction 316,869.24
2023-09-10,Bank Transaction 317,-595.15
2023-05-14,Bank Transaction 318,-364.78
2023-01-14,Bank Transaction 319,232.35
2023-09-18,Bank Transaction 320,-624.99
2023-01-15,Bank Transaction 321,-422.4
2023-02-20,Bank Transaction 322,905.38
2023-09-29,Bank Transaction 323,-668.11
2023-02-22,Bank Transaction 324,647.14
2023-06-25,Bank Transaction 325,-468.91
2023-09-24,Bank Transaction 326,-216.59
2023-09-16,Bank Transaction 327,701.5
2023-12-26,Bank Transaction 328,783.05
2023-08-20,Bank Transaction 329,-20.73
2023-12-12,Bank Transaction 330,348.33
2023-03-12,Bank Transaction 331,-418.52
2023-01-19,Bank Transaction 332,-653.4
2023-01-31,Bank Transaction 333,52.5
2023-12-04,Bank Transaction 334,-102.28
2023-12-10,Bank Transaction 335,-262.19
2023-01-04,Bank Transaction 336,865.17
2023-12-10,Bank Transaction 337,778.94
2023-05-07,Bank Transaction 338,627.06
2023-07-21,Bank Transaction 339,-187.84
2023-09-29,Bank Transaction 340,-597.11
2023-03-03,Bank Transaction 341,-820.18
2023-02-22,Bank Transaction 342,-26.84
2023-09-12,Bank Transaction 343,-265.07
2023-04-06,Bank Transaction 344,-117.54
2023-01-12,Bank Transaction 345,-311.87
2023-01-08,Bank Transaction 346,513.46
2023-07-18,Bank Transaction 347,629.17
2023-03-20,Bank Transaction 348,715.04
2023-07-04,Bank Transaction 349,151.58
2023-06-26,Bank Transaction 350,-39.21
2023-10-09,Bank Transaction 351,58.37
2023-11-28,Bank Transaction 352,367.66
2023-11-26,Bank Transaction 353,-821.92
2023-11-18,Bank Transaction 354,-777.34
2023-12-13,Bank Transaction 355,-599.3
2023-08-27,Bank Transaction 356,-722.15
2023-12-01,Bank Transaction 357,504.07
2023-06-28,Bank Transaction 358,-88.62
2023-10-23,Bank Transaction 359,193.95
2023-07-09,Bank Transaction 360,227.42
2023-05-05,Bank Transaction 361,-269.76
2023-01-05,Bank Transaction 362,601.45
2023-05-24,Bank Transaction 363,-267.66
2023-11-15,Bank Transaction 364,-190.56
2023-02-10,Bank Transaction 365,667.75
2023-07-28,Bank Transaction 366,-190.5
2023-04-13,Bank Transaction 367,-827.45
2023-09-04,Bank Transaction 368,36.23
2023-12-12,Bank Transaction 369,100.57
2023-11-26,Bank Transaction 370,-147.62
2023-08-04,Bank Transaction 371,931.86
2023-07-17,Bank Transaction 372,-713.01
2023-07-18,Bank Transaction 373,587.34
2023-11-23,Bank Transaction 374,-977.72
2023-06-27,Bank Transaction 375,64.8
2023-03-30,Bank Transaction 376,393.02
2023-07-24,Bank Transaction 377,858.13
2023-07-06,Bank Transaction 378,-737.16
2023-03-03,Bank Transaction 379,446.18
2023-08-11,Bank Transaction 380,-322.74
2023-08-09,Bank Transaction 381,335.49
2023-09-02,Bank Transaction 382,813.9
2023-06-19,Bank Transaction 383,-569.08
2023-04-04,Bank Transaction 384,-981.44
2023-05-05,Bank Transaction 385,600.62
2023-07-25,Bank Transaction 386,-881.09
2023-12-20,Bank Transaction 387,339.57
2023-02-19,Bank Transaction 388,-512.99
2023-09-17,Bank Transaction 389,-192.17
2023-06-28,Bank Transaction 390,-420.76
2023-10-28,Bank Transaction 391,762.8
2023-11-02,Bank Transaction 392,-889.98
2023-10-24,Bank Transaction 393,843.68
2023-09-14,Bank Transaction 394,-26.52
2023-03-20,Bank Transaction 395,-466.39
2023-05-12,Bank Transaction 396,-636.84
2023-11-24,Bank Transaction 397,-5.62
2023-10-05,Bank Transaction 398,366.82
2023-05-19,Bank Transaction 399,-144.62
2023-11-21,Bank Transaction 400,950.01
2023-08-13,Bank Transaction 401,-708.52
2023-10-07,Bank Transaction 402,427.01
2023-01-01,Bank Transaction 403,-653.38
2023-12-19,Bank Transaction 404,-902.16
2023-01-25,Bank Transaction 405,870.93
2023-08-08,Bank Transaction 406,-125.25
2023-11-24,Bank Transaction 407,-923.79
2023-08-31,Bank Transaction 408,632.22
2023-09-05,Bank Transaction 409,246.57
2023-09-10,Bank Transaction 410,-610.78
2023-06-24,Bank Transaction 411,372.67
2023-11-17,Bank Transaction 412,553.25
2023-11-26,Bank Transaction 413,-861.49
2023-04-09,Bank Transaction 414,518.28
2023-05-27,Bank Transaction 415,-14.33
2023-08-26,Bank Transaction 416,-310.54
2023-04-10,Bank Transaction 417,-209.87
2023-03-08,Bank Transaction 418,899.46
2023-09-20,Bank Transaction 419,-484.44
2023-06-27,Bank Transaction 420,788.18
2023-06-26,Bank Transaction 421,565.88
2023-02-07,Bank Transaction 422,-947.1
2023-06-29,Bank Transaction 423,712.11
2023-04-12,Bank Transaction 424,-696.29
2023-03-04,Bank Transaction 425,-587.43
2023-06-18,Bank Transaction 426,-762.5
2023-01-17,Bank Transaction 427,-299.53
2023-07-31,Bank Transaction 428,300.64
2023-10-03,Bank Transaction 429,411.06
2023-11-24,Bank Transaction 430,-881.36
2023-07-14,Bank Transaction 431,-823.12
2023-09-26,Bank Transaction 432,-267.37
2023-12-11,Bank Transaction 433,-285.91
2023-06-16,Bank Transaction 434,968.16
2023-08-05,Bank Transaction 435,710.41
2023-03-20,Bank Transaction 436,-785.23
2023-01-14,Bank Transaction 437,-212.45
2023-10-24,Bank Transaction 438,-544.67
2023-05-03,Bank Transaction 439,165.88
2023-06-08,Bank Transaction 440,703.5
2023-12-25,Bank Transaction 441,425.92
2023-03-11,Bank Transaction 442,750.21
2023-01-31,Bank Transaction 443,-182.36
2023-12-07,Bank Transaction 444,388.1
2023-08-15,Bank Transaction 445,33.78
2023-04-13,Bank Transaction 446,-166.62
2023-08-21,Bank Transaction 447,711.74
2023-11-24,Bank Transaction 448,-783.15
2023-06-29,Bank Transaction 449,-361.2
2023-06-26,Bank Transaction 450,284.82
2023-08-24,Bank Transaction 451,1001.84
2023-07-15,Bank Transaction 452,-291.11
2023-04-09,Bank Transaction 453,-686.1
2023-01-15,Bank Transaction 454,-532.55
2023-10-12,Bank Transaction 455,330.02
2023-03-30,Bank Transaction 456,490.94
2023-06-22,Bank Transaction 457,687.57
2023-04-13,Bank Transaction 458,-546.27
2023-03-04,Bank Transaction 459,636.78
2023-02-14,Bank Transaction 460,-912.27
2023-09-10,Bank Transaction 461,120.37
2023-02-25,Bank Transaction 462,-22.88
2023-02-01,Bank Transaction 463,1031.41
2023-10-28,Bank Transaction 464,231.99
2023-02-06,Bank Transaction 465,-605.17
2023-04-14,Bank Transaction 466,745.97
2023-02-22,Bank Transaction 467,-848.96
2023-04-26,Bank Transaction 468,894.17
2023-11-05,Bank Transaction 469,-250.12
2023-09-05,Bank Transaction 470,640.21
2023-01-22,Bank Transaction 471,702.23
2023-12-30,Bank Transaction 472,-308.07
2023-11-17,Bank Transaction 473,364.39
2023-12-23,Bank Transaction 474,735.34
2023-05-12,Bank Transaction 475,465.06
2023-09-06,Bank Transaction 476,35.88
2023-05-02,Bank Transaction 477,741.94
2023-01-10,Bank Transaction 478,-68.62
2023-03-17,Bank Transaction 479,-360.82
2023-07-06,Bank Transaction 480,0.1
2023-05-05,Bank Transaction 481,498.39
2023-12-27,Bank Transaction 482,569.76
2023-09-16,Bank Transaction 483,-679.55
2023-12-05,Bank Transaction 484,-156.09
2023-06-26,Bank Transaction 485,996.09
2023-11-29,Bank Transaction 486,466.9
2023-04-27,Bank Transaction 487,244.85
2023-07-01,Bank Transaction 488,-449.11
2023-09-15,Bank Transaction 489,0.96
2023-06-02,Bank Transaction 490,-947.26
2023-11-08,Bank Transaction 491,582.69
2023-11-13,Bank Transaction 492,-469.52
2023-02-04,Bank Transaction 493,715.69
2023-07-10,Bank Transaction 494,719.66
2023-12-28,Bank Transaction 495,217.84
2023-08-13,Bank Transaction 496,-241.25
2023-07-23,Bank Transaction 497,35.33
2023-04-15,Bank Transaction 498,683.23
2023-01-19,Bank Transaction 499,496.18
2023-02-01,Bank Transaction 500,201.78
2023-07-10,Bank Transaction 501,763.45
2023-12-29,Bank Transaction 502,690.57
2023-06-20,Bank Transaction 503,-19.62
2023-05-27,Bank Transaction 504,-223.08
2023-01-12,Bank Transaction 505,-962.12
2023-06-26,Bank Transaction 506,556.14
2023-12-25,Bank Transaction 507,-907.25
2023-12-11,Bank Transaction 508,204.54
2023-11-05,Bank Transaction 509,617.64
2023-09-14,Bank Transaction 510,-901.83
2023-10-02,Bank Transaction 511,819.94
2023-09-09,Bank Transaction 512,-984.81
2023-06-27,Bank Transaction 513,551.85
2023-10-17,Bank Transaction 514,811.64
2023-10-09,Bank Transaction 515,-545.46
2023-01-20,Bank Transaction 516,-766.42
2023-12-20,Bank Transaction 517,-900.97
2023-04-16,Bank Transaction 518,-241.26
2023-03-09,Bank Transaction 519,-568.17
2023-06-10,Bank Transaction 520,229.35
2023-04-18,Bank Transaction 521,606.12
2023-10-22,Bank Transaction 522,-285.84
2023-02-12,Bank Transaction 523,-843.25
2023-12-09,Bank Transaction 524,-226.29
2023-07-20,Bank Transaction 525,644.74
2023-12-29,Bank Transaction 526,-757.96
2023-02-05,Bank Transaction 527,-312.07
2023-11-21,Bank Transaction 528,-171.63
2023-07-25,Bank Transaction 529,-476.02
2023-04-10,Bank Transaction 530,553.96
2023-02-23,Bank Transaction 531,-921.43
2023-08-08,Bank Transaction 532,910.76
2023-05-27,Bank Transaction 533,-351.16
2023-08-13,Bank Transaction 534,-468.19
2023-11-27,Bank Transaction 535,819.12
2023-06-19,Bank Transaction 536,358.57
2023-01-19,Bank Transaction 537,573.65
2023-07-04,Bank Transaction 538,-973.93
2023-09-25,Bank Transaction 539,416.58
2023-03-30,Bank Transaction 540,92.34
2023-02-19,Bank Transaction 541,810.48
2023-09-17,Bank Transaction 542,116.46
2023-09-20,Bank Transaction 543,388.41
2023-04-08,Bank Transaction 544,406.47
2023-06-10,Bank Transaction 545,297.29
2023-02-14,Bank Transaction 546,-577.67
2023-12-09,Bank Transaction 547,478.41
2023-12-23,Bank Transaction 548,-372.02
2023-03-06,Bank Transaction 549,-130.88
2023-09-13,Bank Transaction 550,-754.5
2023-05-03,Bank Transaction 551,-488.2
2023-09-19,Bank Transaction 552,-973.29
2023-09-30,Bank Transaction 553,630.22
2023-04-05,Bank Transaction 554,-629.64
2023-09-16,Bank Transaction 555,-498.12
2023-08-02,Bank Transaction 556,-466.5
2023-09-12,Bank Transaction 557,-85.06
2023-09-03,Bank Transaction 558,1029.53
2023-07-15,Bank Transaction 559,-813.06
2023-06-08,Bank Transaction 560,-636.72
2023-01-22,Bank Transaction 561,-991.86
2023-10-07,Bank Transaction 562,680.18
2023-09-29,Bank Transaction 563,798.25
2023-03-29,Bank Transaction 564,-657.34
2023-10-23,Bank Transaction 565,-974.12
2023-02-08,Bank Transaction 566,-119.92
2023-08-24,Bank Transaction 567,-418.62
2023-06-05,Bank Transaction 568,-880.13
2023-02-01,Bank Transaction 569,-460.98
2023-04-07,Bank Transaction 570,250.09
2023-10-18,Bank Transaction 571,420.2
2023-11-12,Bank Transaction 572,-199.26
2023-06-18,Bank Transaction 573,-303.57
2023-05-20,Bank Transaction 574,256.11
2023-06-05,Bank Transaction 575,564.32
2023-03-26,Bank Transaction 576,-378.73
2023-12-24,Bank Transaction 577,397.55
2023-02-11,Bank Transaction 578,268.26
2023-03-11,Bank Transaction 579,948.45
2023-01-03,Bank Transaction 580,-74.2
2023-06-28,Bank Transaction 581,-181.65
2023-02-08,Bank Transaction 582,888.09
2023-04-09,Bank Transaction 583,489.56
2023-10-13,Bank Transaction 584,-491.09
2023-03-12,Bank Transaction 585,-271.08
2023-04-27,Bank Transaction 586,-548.64
2023-04-12,Bank Transaction 587,195.46
2023-01-17,Bank Transaction 588,231.78
2023-05-21,Bank Transaction 589,943.37
2023-07-15,Bank Transaction 590,-205.74
2023-07-19,Bank Transaction 591,-396.92
2023-10-17,Bank Transaction 592,-381.84
2023-02-12,Bank Transaction 593,-858.3
2023-11-30,Bank Transaction 594,-803.44
2023-04-19,Bank Transaction 595,-979.83
2023-10-13,Bank Transaction 596,493.68
2023-10-04,Bank Transaction 597,-411.2
2023-08-13,Bank Transaction 598,-505.37
2023-07-18,Bank Transaction 599,338.28
2023-04-06,Bank Transaction 600,-136.63
2023-09-29,Bank Transaction 601,365.26
2023-08-05,Bank Transaction 602,859.0
2023-09-27,Bank Transaction 603,-458.36
2023-03-05,Bank Transaction 604,-630.39
2023-04-25,Bank Transaction 605,913.47
2023-10-30,Bank Transaction 606,114.28
2023-03-19,Bank Transaction 607,930.63
2023-09-18,Bank Transaction 608,924.12
2023-01-16,Bank Transaction 609,460.85
2023-12-13,Bank Transaction 610,-949.13
2023-06-17,Bank Transaction 611,-987.44
2023-01-05,Bank Transaction 612,-761.82
2023-02-03,Bank Transaction 613,645.9
2023-03-11,Bank Transaction 614,-473.84
2023-01-21,Bank Transaction 615,856.26
2023-10-11,Bank Transaction 616,613.75
2023-08-24,Bank Transaction 617,-170.94
2023-11-23,Bank Transaction 618,-954.56
2023-04-02,Bank Transaction 619,975.61
2023-10-03,Bank Transaction 620,69.72
2023-02-11,Bank Transaction 621,416.55
2023-08-31,Bank Transaction 622,399.94
2023-12-13,Bank Transaction 623,-902.55
2023-04-17,Bank Transaction 624,259.34
2023-11-11,Bank Transaction 625,141.48
2023-11-09,Bank Transaction 626,-964.7
2023-03-04,Bank Transaction 627,-820.6
2023-05-13,Bank Transaction 628,-376.57
2023-06-30,Bank Transaction 629,-257.72
2023-09-20,Bank Transaction 630,-88.24
2023-06-24,Bank Transaction 631,-694.26
2023-01-08,Bank Transaction 632,-604.53
2023-06-12,Bank Transaction 633,706.04
2023-11-17,Bank Transaction 634,750.37
2023-04-26,Bank Transaction 635,916.47
2023-10-09,Bank Transaction 636,698.32
2023-02-06,Bank Transaction 637,-188.62
2023-09-28,Bank Transaction 638,534.68
2023-05-03,Bank Transaction 639,375.78
2023-08-08,Bank Transaction 640,-984.29
2023-04-21,Bank Transaction 641,-976.19
2023-10-12,Bank Transaction 642,380.34
2023-02-13,Bank Transaction 643,17.37
2023-01-29,Bank Transaction 644,48.58
2023-07-23,Bank Transaction 645,-433.81
2023-09-07,Bank Transaction 646,-668.99
2023-04-16,Bank Transaction 647,-561.66
2023-03-23,Bank Transaction 648,936.92
2023-06-26,Bank Transaction 649,-87.17
